[0]125.232 [1]128.932 [2]123.736 [3]126.123 [4]125.578 [5]129.314 [6]132.605 [7]131.567 [8]128.311 [9]124.152 [10]124.623 [11]125.447 [12]132.084 [13]127.619 [14]123.64 [15]132.555 [16]129.316 [17]129.232 [18]125.399 [19]129.131 [20]126.137 
[0]128.945 [1]122.697 [2]132.572 [3]128.873 [4]129.42 [5]128.734 [6]123.448 [7]130.662 [8]126.485 [9]129.475 [10]131.346 [11]127.841 [12]128.038 [13]125.493 [14]133.47 [15]130.084 [16]133.901 [17]125.255 [18]129.171 [19]130.082 [20]134.339 
[0]130.373 [1]134.052 [2]130.638 [3]126.229 [4]132.545 [5]125.006 [6]128.394 [7]131.398 [8]134.82 [9]131.698 [10]131.207 [11]127.561 [12]125.301 [13]130.069 [14]128.603 [15]127.775 [16]134.748 [17]126.303 [18]133.146 [19]128.272 [20]126.316 
[0]121.313 [1]125.376 [2]133.457 [3]128.523 [4]131.791 [5]134.575 [6]125.971 [7]123.333 [8]127.029 [9]128.118 [10]123.165 [11]132.094 [12]124.685 [13]125.8 [14]127.36 [15]128.709 [16]129.163 [17]123.459 [18]132.561 [19]128.9 [20]127.517 
[0]128.643 [1]126.412 [2]130.902 [3]127.862 [4]126.423 [5]124.908 [6]127.953 [7]126.36 [8]130.424 [9]128.716 [10]126.252 [11]130.676 [12]127.388 [13]121.638 [14]131.771 [15]127.844 [16]125.785 [17]126.526 [18]124.589 [19]133.131 [20]124.885 
[0]125.072 [1]130.137 [2]131.535 [3]129.405 [4]125.752 [5]125.688 [6]126.104 [7]131.288 [8]132.742 [9]126.092 [10]130.719 [11]132.015 [12]123.46 [13]121.926 [14]126.249 [15]128.377 [16]130.677 [17]124.34 [18]118.446 [19]125.589 [20]130.065 
[0]128.557 [1]125.782 [2]127.896 [3]123.581 [4]125.737 [5]127.563 [6]124.908 [7]126.76 [8]131.571 [9]126.012 [10]126.728 [11]128.091 [12]128.376 [13]124.825 [14]127.037 [15]123.677 [16]125.312 [17]125.086 [18]118.082 [19]130.116 [20]129.869 
[0]128.036 [1]126.148 [2]130.843 [3]124.548 [4]129.772 [5]128.705 [6]127.811 [7]132.901 [8]127.07 [9]126.294 [10]125.032 [11]123.361 [12]133.912 [13]124.984 [14]126.845 [15]125.465 [16]125.402 [17]127.503 [18]119.687 [19]123.348 [20]133.39 
[0]128.775 [1]133.194 [2]122.983 [3]127.154 [4]127.931 [5]133.192 [6]129.659 [7]128.86 [8]121.913 [9]126.022 [10]129.138 [11]122.661 [12]126.609 [13]128.76 [14]126.436 [15]130.211 [16]129.078 [17]120.156 [18]113.515 [19]131.677 [20]124.68 
[0]127.545 [1]127.838 [2]127.95 [3]130.89 [4]130.526 [5]132.942 [6]131.5 [7]131.081 [8]134.182 [9]129.551 [10]132.252 [11]129.863 [12]130.107 [13]130.831 [14]128.285 [15]133.045 [16]133.195 [17]125.773 [18]117.961 [19]125.689 [20]127.15 
